idSaldoMensual;anio;mes;moto_total;cliente_id  1;tipoInversion_id
72;2018;1;2061517;8;2
73;2018;1;2515149;8;3
74;2018;1;2515166;8;4
75;2018;2;3550227;8;2
76;2018;3;2515226;8;2
77;2018;3;2515221;8;3
78;2018;3;9150707;8;4
79;2018;4;2515103;8;4
80;2018;5;7545364;8;1
81;2018;5;2515135;8;3
82;2018;1;1559282;9;1
83;2018;2;1700538;9;1
84;2018;3;4580198;9;1
85;2018;3;2515216;9;3
86;2018;4;2515099;9;4
87;2018;1;2515162;10;1
88;2018;1;4908404;10;2
89;2018;1;4796567;10;3
90;2018;2;2027246;10;1
91;2018;2;3478145;10;2
92;2018;2;3552645;10;3
93;2018;2;5636873;10;4
94;2018;3;4616747;10;2
95;2018;3;2515228;10;3
96;2018;3;1997131;10;4
97;2018;4;5030473;10;2
98;2018;4;5030344;10;3
99;2018;5;5030567;10;1
100;2018;5;2515129;10;2
101;2018;1;1509848;11;1
102;2018;1;2515161;11;2
103;2018;1;4913556;11;3
104;2018;2;5030373;11;1
105;2018;2;5030363;11;2
106;2018;2;2575629;11;4
107;2018;3;5030435;11;1
108;2018;4;2515097;11;1
109;2018;4;2515101;11;3
110;2018;4;4953447;11;4
111;2018;5;2515125;11;4
112;2018;1;5030321;12;3
113;2018;1;2515172;12;4
114;2018;2;2515197;12;1
115;2018;2;2515187;12;4
116;2018;3;5233026;12;1
117;2018;3;2515222;12;3
118;2018;3;5030442;12;4
119;2018;4;2515089;12;2
120;2018;4;2515091;12;3
121;2018;4;5030516;12;4
122;2018;5;2515278;12;4
123;2018;1;13113876;13;1
124;2018;1;4668102;13;4
125;2018;2;3566373;13;1
126;2018;2;5372641;13;2
127;2018;3;3250506;13;3
128;2018;3;2515208;13;4
129;2018;4;2515239;13;1
130;2018;4;2515094;13;2
131;2018;4;2515235;13;3
132;2018;5;2515288;13;1
133;2018;5;5030393;13;2
134;2018;5;2515269;13;4
135;2018;1;3946539;14;1
136;2018;1;6387546;14;4
137;2018;2;12874804;14;1
138;2018;2;3030702;14;2
139;2018;2;4847887;14;3
140;2018;2;3853989;14;4
141;2018;4;2515254;14;1
142;2018;4;4128053;14;3
143;2018;4;5030351;14;4
144;2018;5;2515128;14;2
145;2018;5;5030403;14;3
146;2018;5;5030386;14;4
147;2018;1;2515163;15;2
148;2018;3;2515217;15;1
149;2018;3;6203206;15;2
150;2018;3;2515213;15;3
151;2018;3;4909180;15;4
152;2018;4;2515237;15;1
153;2018;4;2515232;15;2
154;2018;4;5030504;15;4
155;2018;5;5030419;15;1
156;2018;5;2515289;15;2
157;2018;1;10060628;16;1
158;2018;1;5030325;16;2
159;2018;1;2515147;16;4
160;2018;2;3891028;16;1
161;2018;2;8728150;16;3
162;2018;3;6773672;16;2
163;2018;3;5030421;16;3
164;2018;4;5030368;16;1
165;2018;4;2515247;16;2
166;2018;4;2515243;16;4
167;2018;5;2515277;16;1
168;2018;5;2515131;16;2
169;2018;5;2515274;16;3
170;2018;2;2505546;17;1
171;2018;2;2515194;17;2
172;2018;2;2515192;17;3
173;2018;4;5030195;17;3
174;2018;4;1406941;17;4
175;2018;1;10151622;18;1
176;2018;1;2294153;18;2
177;2018;2;1292304;18;3
178;2018;3;4971604;18;2
179;2018;3;3105696;18;3
180;2018;4;2515241;18;1
181;2018;4;2515093;18;2
182;2018;4;2515259;18;4
183;2018;5;2515134;18;1
184;2018;5;2515130;18;2
185;2018;5;2515112;18;3
186;2018;1;1995998;19;1
187;2018;1;3530678;19;2
188;2018;1;7545471;19;3
189;2018;1;8205095;19;4
190;2018;2;2515186;19;3
191;2018;2;3504052;19;4
192;2018;3;6824216;19;1
193;2018;3;5030432;19;2
194;2018;4;2515236;19;1
195;2018;5;5030407;19;1
196;2018;5;2515283;19;3
197;2018;1;2973485;20;1
198;2018;1;2515168;20;2
199;2018;1;4613685;20;3
200;2018;1;5427680;20;4
201;2018;2;2515188;20;1
202;2018;2;2515190;20;4
203;2018;3;2683491;20;1
204;2018;3;2730166;20;4
205;2018;4;2515258;20;1
206;2018;4;2515105;20;3
207;2018;4;2515250;20;4
208;2018;5;2515264;20;2
209;2018;5;2515137;20;3
210;2018;5;7545707;20;4
